2026-05-20 11:54:27 | INFO     | __main__ | 日志系统初始化完成
2026-05-20 11:55:54 | INFO     | __main__ | 日志系统初始化完成
2026-05-20 11:56:13 | INFO     | __main__ | 日志系统初始化完成
2026-05-20 11:56:13 | INFO     | __main__ | 环境自检模式完成
2026-05-20 14:39:11 | INFO     | __main__ | 日志系统初始化完成
2026-05-20 14:39:11 | INFO     | __main__ | 环境自检模式完成
2026-05-20 15:57:34 | INFO     | __main__ | 日志系统初始化完成
2026-05-20 15:57:35 | INFO     | __main__ | 环境自检模式完成
2026-05-20 16:38:38 | INFO     | __main__ | 日志系统初始化完成
2026-05-20 16:38:39 | INFO     | __main__ | 环境自检模式完成
2026-05-26 08:37:57 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 08:37:58 | INFO     | __main__ | 环境自检模式完成
2026-05-26 09:14:06 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 09:14:06 | INFO     | __main__ | 环境自检模式完成
2026-05-26 10:14:02 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 10:14:02 | INFO     | __main__ | 环境自检模式完成
2026-05-26 10:29:26 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 10:29:26 | INFO     | __main__ | 环境自检模式完成
2026-05-26 10:34:32 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 10:36:21 | INFO     | __main__ | 日志系统初始化完成
2026-05-26 10:36:21 | INFO     | __main__ | 启动 GUI 模式
2026-05-26 10:36:21 | INFO     | src.gui.app | DPI 感知已激活
2026-05-26 10:36:22 | INFO     | src.gui.app | GUI 主窗口初始化完成
2026-05-26 10:36:22 | INFO     | src.gui.app | 切换页面: order_info
2026-05-26 10:36:22 | INFO     | config.settings | .env 文件不存在，使用 .env.example 作为参考模板
2026-05-26 10:36:22 | INFO     | config.settings | 已加载业务配置文件: D:\Coding_Programs\CustomsFileGenerator\config\settings.json
2026-05-26 10:36:23 | INFO     | src.gui.app | GUI 主循环启动
2026-05-26 10:37:22 | INFO     | src.gui.app | 切换页面: customer
2026-05-26 10:37:36 | INFO     | src.gui.app | 切换页面: order_info
2026-05-26 10:37:38 | INFO     | src.gui.app | 切换页面: customer
2026-05-26 10:37:39 | INFO     | src.gui.app | 切换页面: template
2026-05-26 10:37:39 | INFO     | src.db.connection | 数据库表结构初始化完成: D:\Coding_Programs\CustomsFileGenerator\data\customs.db
2026-05-26 10:37:39 | INFO     | src.db.connection | 已为线程 MainThread 创建数据库连接
2026-05-26 10:37:39 | INFO     | src.importer.template_loader | 列出模板: 0 条
2026-05-26 10:37:39 | INFO     | src.importer.template_loader | 列出模板: 0 条
2026-05-26 10:37:41 | INFO     | src.gui.app | 切换页面: order_info
2026-05-26 10:37:41 | INFO     | src.gui.app | 切换页面: customer
2026-05-26 10:37:42 | INFO     | src.gui.app | 切换页面: template
2026-05-26 10:37:42 | INFO     | src.importer.template_loader | 列出模板: 0 条
2026-05-26 10:37:42 | INFO     | src.importer.template_loader | 列出模板: 0 条
2026-05-26 10:37:51 | INFO     | src.gui.app | 切换页面: product
2026-05-26 10:37:52 | INFO     | src.gui.app | 切换页面: customer
2026-05-26 10:37:53 | INFO     | src.gui.app | 切换页面: product
2026-05-26 10:37:58 | INFO     | src.gui.app | 切换页面: customer
